year,average_trade_usd
1988,61921906.27066529
1989,48833139.89371255
1990,50677781.92780038
1991,59542787.22827732
1992,52449474.44624703
1993,48488895.86415994
1994,50419931.2856768
1995,53724974.14546647
1996,53036384.50572262
1997,50396085.58267562
1998,47977121.320637524
1999,46818988.95568245
2000,55856166.31582781
2001,53965653.483621225
2002,57053000.273520164
2003,64452523.969925106
2004,77615984.87580521
2005,85815025.8000585
2006,98143856.07450306
2007,113612846.34007432
2008,135629949.79115248
2009,104573761.83869562
2010,126631958.84217383
2011,152402021.52465323
2012,150358691.06606457
2013,156383248.79091004
2014,158505957.34378824
2015,139411852.6744594
2016,137984606.1966806
