category,year,quantity_name,average_trade_usd
01_live_animals,1989,Weight in kilograms,351970.2
01_live_animals,1990,Weight in kilograms,470841.125
01_live_animals,1991,Weight in kilograms,532389.8181818182
01_live_animals,1992,Weight in kilograms,1222290.3636363635
01_live_animals,1993,Weight in kilograms,969928.3636363636
01_live_animals,1994,Weight in kilograms,536871.7777777778
01_live_animals,1995,Weight in kilograms,636305.0
01_live_animals,1996,Weight in kilograms,730179.875
01_live_animals,1997,Weight in kilograms,623720.4545454546
01_live_animals,1998,Weight in kilograms,1026265.8571428572
01_live_animals,1999,Weight in kilograms,864058.8888888889
01_live_animals,2000,Number of items,947752.0
01_live_animals,2001,Number of items,546272.5555555555
01_live_animals,2002,Number of items,519404.375
01_live_animals,2003,Number of items,1441110.0
01_live_animals,2004,Number of items,2526218.1428571427
01_live_animals,2005,Number of items,4645887.444444444
01_live_animals,2006,Number of items,10531234.25
01_live_animals,2007,Number of items,28491355.1
01_live_animals,2008,Number of items,37961990.27272727
01_live_animals,2009,Number of items,47114064.8
01_live_animals,2010,Number of items,77475318.1111111
01_live_animals,2011,Number of items,49165990.8
01_live_animals,2012,Number of items,58415213.72727273
01_live_animals,2013,Number of items,86955326.77777778
01_live_animals,2014,Number of items,92774914.625
01_live_animals,2015,Number of items,25286922.545454547
01_live_animals,2016,Number of items,28375283.4
02_meat_and_edible_meat_offal,1989,Weight in kilograms,14544145.46875
02_meat_and_edible_meat_offal,1990,Weight in kilograms,13322243.333333334
02_meat_and_edible_meat_offal,1991,Weight in kilograms,19998054.5
02_meat_and_edible_meat_offal,1992,Weight in kilograms,22235103.692307692
02_meat_and_edible_meat_offal,1993,Weight in kilograms,27777943.472222224
02_meat_and_edible_meat_offal,1994,Weight in kilograms,32733910.16129032
02_meat_and_edible_meat_offal,1995,Weight in kilograms,26192203.864864863
02_meat_and_edible_meat_offal,1996,Weight in kilograms,41344936.0
02_meat_and_edible_meat_offal,1997,Weight in kilograms,35005195.324324325
02_meat_and_edible_meat_offal,1998,Weight in kilograms,35651838.22857143
02_meat_and_edible_meat_offal,1999,Weight in kilograms,40245865.55263158
02_meat_and_edible_meat_offal,2000,No Quantity,153028.0
02_meat_and_edible_meat_offal,2000,Weight in kilograms,41164625.15384615
02_meat_and_edible_meat_offal,2001,No Quantity,76365.0
02_meat_and_edible_meat_offal,2001,Weight in kilograms,70907291.0
02_meat_and_edible_meat_offal,2002,Weight in kilograms,70545641.71794872
02_meat_and_edible_meat_offal,2003,Weight in kilograms,93357796.51282051
02_meat_and_edible_meat_offal,2004,Weight in kilograms,142275109.97435898
02_meat_and_edible_meat_offal,2005,Weight in kilograms,184067189.56410256
02_meat_and_edible_meat_offal,2006,Weight in kilograms,188237311.53846154
02_meat_and_edible_meat_offal,2007,Weight in kilograms,234471802.97560975
02_meat_and_edible_meat_offal,2008,Weight in kilograms,323424740.81578946
02_meat_and_edible_meat_offal,2009,Weight in kilograms,299843803.1515151
02_meat_and_edible_meat_offal,2010,Weight in kilograms,339383733.2
02_meat_and_edible_meat_offal,2011,Weight in kilograms,370888545.5405405
02_meat_and_edible_meat_offal,2012,Weight in kilograms,370346843.4324324
02_meat_and_edible_meat_offal,2013,Weight in kilograms,492874371.4
02_meat_and_edible_meat_offal,2014,Weight in kilograms,513906360.93333334
02_meat_and_edible_meat_offal,2015,Weight in kilograms,384634896.85294116
02_meat_and_edible_meat_offal,2016,Weight in kilograms,421859783.2
03_fish_crustaceans_molluscs_aquatic_invertebrates_ne,1989,Weight in kilograms,3150434.7
03_fish_crustaceans_molluscs_aquatic_invertebrates_ne,1990,Weight in kilograms,4349268.25
03_fish_crustaceans_molluscs_aquatic_invertebrates_ne,1991,Weight in kilograms,4974412.935483871
